"provincia","pda_total","pct_with_account","pct_borrowers","hhi_empleo","n_sectors","puestos_total","sown_ha","prod_tm","n_cultivos","agro_hhi","pob_empleo","tasa_empleo","tasa_desocupacion","pda_per_100k"
"Buenos Aires",33588,99.3,50.13297,0.0374015216464007,84,2771332,20880235,66646167,21,0.153461558649485,13857399,0.586002106167254,0.0919448265065361,242.383148525925
"CABA",12122,100,74.35046,0.0404796461912964,84,828193,NA,NA,NA,NA,2668924,0.629011167047095,0.0747065713144007,454.190527718286
"Catamarca",894,100,57.01672,0.0591565119032647,78,38034,129550,277750,15,0.186510309936378,339080,0.58231685737879,0.0764726242037025,263.654594785891
"Chaco",2386,100,52.52378,0.0649010946538843,82,87643,2068806,1780229,14,0.199999797901955,869419,0.557101926688973,0.0655993240206112,274.436146438024
"Chubut",1358,100,59.51096,0.0540147416939026,81,97923,NA,NA,NA,NA,466627,0.607534497575151,0.0768048404797494,291.024737102654
"Córdoba",10554,99.79,54.49233,0.0464070846821398,84,542448,14327972,52624981,23,0.216101194697333,3062143,0.597467851762638,0.0807928506579539,344.660585740117
"Corrientes",2314,96.96,44.37445,0.062960674116801,82,96815,149510,883858,9,0.557794326201507,937638,0.508469153340628,0.0923093032775181,246.790339128747
"Entre Ríos",3146,99.25,47.11016,0.0651288433022934,82,157045,3879690,12316532,15,0.199787103767489,1122157,0.56218603992133,0.0786786128940393,280.352927442417
"Formosa",978,100,46.85159,0.0716368212799157,75,34135,113528,210416,11,0.195110115790154,462885,0.521732179699061,0.0668681029952706,211.283580154898
"Jujuy",1496,95.26,42.52411,0.0615874483774522,81,69095,84739,136115,14,0.192266849787543,633222,0.578566442732565,0.0792381794922705,236.252056940536
"La Pampa",1236,100,58.06576,0.0646567150556539,78,42879,2612780,6380506,14,0.150953410030192,287006,0.614980174630495,0.0601694328631598,430.653017706947
"La Rioja",838,99.6,55.70159,0.0557888196025907,77,32410,NA,NA,NA,NA,303899,0.60137414075071,0.0706483600305111,275.749508882885
"Mendoza",4774,97.6,50.4338,0.0475244250200873,85,268959,NA,NA,NA,NA,1594198,0.570658098931249,0.0953790591461735,299.460920161737
"Misiones",2556,100,48.82174,0.0535848948504699,82,118922,40158,163588,3,0.638864286754604,954517,0.570748347069775,0.0592260907706282,267.779410948155
"Neuquén",1696,99.64,61.27203,0.0596471791880149,84,106785,NA,NA,NA,NA,560376,0.615964994931974,0.0702187264303416,302.653932359701
"Río Negro",1892,100,59.07429,0.053520021512321,82,123306,NA,NA,NA,NA,594726,0.60110706442967,0.0777942014853567,318.129693337772
"Salta",2624,96.97,46.17146,0.0528441137876545,83,142090,2067382,4434023,23,0.135438214929648,1096035,0.564594196353219,0.0790484127810933,239.408413052503
"San Juan",1636,96.94,48.84944,0.0449952726341718,80,87743,NA,NA,NA,NA,630979,0.538483848115389,0.0961226905734162,259.279627372702
"San Luis",1682,95.76,53.69256,0.0453105587176269,78,59429,1233060,3428322,16,0.225949155028817,429112,0.579074926825631,0.0981879416279855,391.97225899066
"Santa Cruz",942,100,64.61186,0.0599430602553664,80,52219,NA,NA,NA,NA,259629,0.612940002850221,0.0785243604442437,362.825416267058
"Santa Fe",9732,99.42,52.04205,0.0442883998928727,84,551984,9833177,33795666,19,0.208028026593966,2824215,0.590350592996638,0.0798301031555977,344.591328917947
"Santiago del Estero",1760,98.86,44.95276,0.0698371622990961,80,72186,4574286,9108950,19,0.185158690096025,806632,0.511678187822948,0.0812919999020605,218.191194993504
"Tierra del Fuego",506,98.29,64.8682,0.0741554434999625,79,34484,NA,NA,NA,NA,145489,0.624892603564531,0.10950585239238,347.792616623937
"Tucumán",2810,95.22,49.67222,0.0755563421752329,82,188371,600380,1392600,17,0.177327588925961,1353069,0.540864508757499,0.097888659061829,207.676031303651
