"variable","categoria","peso","coord1","ctr1","cos2_1","vtest1","coord2","ctr2","cos2_2","vtest2"
"tipo","tipo.Asoc",18.2,-2.4051551842518,35.400693,0.712081,-10.839435,-0.3968724105663,1.415955,0.019389,-1.788605
"clae_sec","clae_sec.S",16,-2.3467167556658,29.612464,0.586886,-9.840541,0.150692415966301,0.179373,0.00242,0.631902
"clae_sec","clae_sec.R",11.6,-1.650527628034,10.6637,0.205388,-5.821433,-0.427520663916453,1.05099,0.01378,-1.507871
"tipo","tipo.Fund",3,-2.20744542307868,4.99193,0.091078,-3.876572,-0.326466857267724,0.160394,0.001992,-0.57332
"tipo","tipo.SA",53.5,0.43317689775351,3.378529,0.089311,3.838787,-0.472208752482143,5.89776,0.106131,-4.184684
"tipo","tipo.SRL",63.8,0.382728355760499,3.144818,0.091512,3.885814,0.184387915341453,1.072262,0.02124,1.872077
"clae_sec","clae_sec.G",26,0.483361974271791,2.039801,0.043305,2.673064,-0.103610801080095,0.137681,0.00199,-0.572983
"clae_sec","clae_sec.C",18.3,0.460839622477598,1.308001,0.026331,2.084379,0.0817682127914155,0.060492,0.000829,0.369838
"tipo","tipo.Mutual",0.6,-2.48017250192804,1.244074,0.022363,-1.920895,0.141029051174281,0.005909,7.2e-05,0.109227
"clae_sec","clae_sec.H",16.1,0.478151744854139,1.236,0.02451,2.011017,-0.197671335295238,0.31031,0.004189,-0.831369
"tipo","tipo.SAS",11.9,0.442585856763664,0.780843,0.01506,1.576372,0.388272369854165,0.882802,0.011591,1.382922
"clae_sec","clae_sec.M",12.6,0.427150895114153,0.77407,0.015004,1.573412,-0.429346806262186,1.14883,0.015158,-1.581501
"clae_sec","clae_sec.J",9.9,0.465438913873701,0.718697,0.013685,1.502682,0.0419660448421974,0.008583,0.000111,0.135489
"tipo","tipo.Coop",7.1,-0.539805538178359,0.692957,0.012963,-1.462504,3.30123058706182,38.07198,0.484828,8.944081
"clae_sec","clae_sec.A",9.9,0.455652398729952,0.690944,0.013159,1.473529,-0.457824661765366,1.024698,0.013285,-1.480553
"clae_sec","clae_sec.L",7.1,0.51465851425259,0.635766,0.011898,1.401144,-1.38678044464687,6.781045,0.086389,-3.775473
"clae_sec","clae_sec.I",6.6,0.490971072768755,0.537541,0.010028,1.28632,0.0482332177986851,0.007621,9.7e-05,0.126369
"clae_sec","clae_sec.P",2.4,-0.764534747441325,0.465919,0.008466,-1.181871,-0.354948308608558,0.147526,0.001825,-0.548704
"tipo","tipo.Otra",7.9,0.371781189413328,0.366155,0.006885,1.06581,-0.800386305234852,2.492938,0.031908,-2.294521
"clae_sec","clae_sec.N",5.7,0.418885912932296,0.333575,0.006185,1.010209,0.243713918724367,0.165876,0.002094,0.587755
"clae_sec","clae_sec.F",10.7,0.282638305308935,0.288417,0.005523,0.954595,2.59384229469163,35.683594,0.465136,8.760559
"clae_sec","clae_sec.O",0.2,-1.94579818490553,0.229792,0.00412,-0.82451,-0.643170760498688,0.036882,0.00045,-0.272536
"clae_sec","clae_sec.Z",3.9,0.340904444547732,0.150985,0.002769,0.675882,-0.701926165646153,0.940312,0.011737,-1.391649
"clae_sec","clae_sec.K",2.7,0.393485876790553,0.141251,0.002572,0.651426,-0.442519621956462,0.262434,0.003253,-0.732603
"clae_sec","clae_sec.E",1.8,0.364785975554329,0.078672,0.001424,0.484746,1.03730851943106,0.934506,0.011516,1.378428
"clae_sec","clae_sec.B",0.6,0.503086597918133,0.0512,0.00092,0.389687,-0.447563987350762,0.059527,0.000728,-0.346679
"clae_sec","clae_sec.T",0,-1.85957939908406,0.034707,0.000622,-0.320287,-0.466113973137903,0.003203,3.9e-05,-0.080282
"clae_sec","clae_sec.D",0.4,0.253831863913966,0.00841,0.000151,0.15783,2.26548821126059,0.984087,0.012026,1.408661
"clae_sec","clae_sec.Q",3.6,0.00846907330512819,8.7e-05,2e-06,0.016217,-0.20154431722851,0.072427,0.000903,-0.385925
