"x","y","era_grupo","region"
-2.06798126229221,-0.196306741658371,"Pre-1990","pampeana"
-2.06750985106207,-0.231165500645815,"Pre-1990","pampeana"
-2.0650277069713,-0.266020345811151,"Pre-1990","pampeana"
-2.06053730427511,-0.300836533086707,"Pre-1990","pampeana"
-2.05404311910456,-0.335579356939837,"Pre-1990","pampeana"
-2.04555162500467,-0.370214184968148,"Pre-1990","pampeana"
-2.03507128648143,-0.404706492421837,"Pre-1990","pampeana"
-2.02261255056419,-0.439021896618705,"Pre-1990","pampeana"
-2.00818783639187,-0.473126191217572,"Pre-1990","pampeana"
-1.99181152283325,-0.506985380315892,"Pre-1990","pampeana"
-1.97349993415385,-0.540565712337613,"Pre-1990","pampeana"
-1.95327132374349,-0.573833713677484,"Pre-1990","pampeana"
-1.93114585592094,-0.606756222068268,"Pre-1990","pampeana"
-1.90714558583372,-0.639300419637613,"Pre-1990","pampeana"
-1.881294437473,-0.671433865621623,"Pre-1990","pampeana"
-1.85361817982566,-0.703124528702514,"Pre-1990","pampeana"
-1.82414440118722,-0.734340818938129,"Pre-1990","pampeana"
-1.79290248166122,-0.76505161925148,"Pre-1990","pampeana"
-1.75992356387247,-0.795226316448927,"Pre-1990","pampeana"
-1.72524052192344,-0.824834831736075,"Pre-1990","pampeana"
-1.68888792862462,-0.85384765070097,"Pre-1990","pampeana"
-1.65090202103159,-0.882235852734707,"Pre-1990","pampeana"
-1.61132066432316,-0.909971139860123,"Pre-1990","pampeana"
-1.57018331405647,-0.937025864939832,"Pre-1990","pampeana"
-1.52753097683693,-0.963373059235499,"Pre-1990","pampeana"
-1.48340616944186,-0.98898645929086,"Pre-1990","pampeana"
-1.43785287643889,-1.01384053311171,"Pre-1990","pampeana"
-1.39091650634115,-1.03791050561674,"Pre-1990","pampeana"
-1.34264384634311,-1.06117238333391,"Pre-1990","pampeana"
-1.29308301568208,-1.08360297831759,"Pre-1990","pampeana"
-1.2422834176719,-1.10517993126292,"Pre-1990","pampeana"
-1.19029569045663,-1.12588173379393,"Pre-1990","pampeana"
-1.13717165653337,-1.14568774990366,"Pre-1990","pampeana"
-1.08296427109445,-1.1645782365245,"Pre-1990","pampeana"
-1.02772756924058,-1.18253436320858,"Pre-1990","pampeana"
-0.971516612117413,-1.19953823089831,"Pre-1990","pampeana"
-0.91438743202948,-1.21557288976858,"Pre-1990","pampeana"
-0.856396976585916,-1.23062235612272,"Pre-1990","pampeana"
-0.797603051933862,-1.24467162832537,"Pre-1990","pampeana"
-0.73806426513604,-1.25770670175646,"Pre-1990","pampeana"
-0.677839965749961,-1.26971458277131,"Pre-1990","pampeana"
-0.616990186666989,-1.28068330165299,"Pre-1990","pampeana"
-0.555575584270254,-1.29060192454397,"Pre-1990","pampeana"
-0.493657377971048,-1.29946056434524,"Pre-1990","pampeana"
-0.431297289183987,-1.307250390572,"Pre-1990","pampeana"
-0.368557479801758,-1.31396363815606,"Pre-1990","pampeana"
-0.305500490230798,-1.31959361518621,"Pre-1990","pampeana"
-0.242189177049651,-1.32413470957893,"Pre-1990","pampeana"
-0.178686650352171,-1.32758239467257,"Pre-1990","pampeana"
-0.115056210837999,-1.32993323373963,"Pre-1990","pampeana"
-0.0513612867130555,-1.33118488341262,"Pre-1990","pampeana"
0.0123346295370756,-1.33133609601992,"Pre-1990","pampeana"
0.0759680444378405,-1.33038672082952,"Pre-1990","pampeana"
0.139475526817388,-1.32833770419925,"Pre-1990","pampeana"
0.202793771036144,-1.32519108863345,"Pre-1990","pampeana"
0.265859660091248,-1.32095001074694,"Pre-1990","pampeana"
0.328610328532954,-1.31561869813841,"Pre-1990","pampeana"
0.390983225130281,-1.30920246517619,"Pre-1990","pampeana"
0.452916175223437,-1.30170770770085,"Pre-1990","pampeana"
0.51434744270087,-1.29314189664963,"Pre-1990","pampeana"
0.575215791539176,-1.28351357060927,"Pre-1990","pampeana"
0.635460546844488,-1.27283232730457,"Pre-1990","pampeana"
0.695021655334534,-1.26110881403113,"Pre-1990","pampeana"
0.75383974520106,-1.24835471704195,"Pre-1990","pampeana"
0.811856185292929,-1.23458274989829,"Pre-1990","pampeana"
0.869013143560937,-1.21980664079649,"Pre-1990","pampeana"
0.925253644706053,-1.20404111888346,"Pre-1990","pampeana"
0.980521626973637,-1.1873018995743,"Pre-1990","pampeana"
1.03476199803702,-1.16960566888686,"Pre-1990","pampeana"
1.08792068991471,-1.15097006680873,"Pre-1990","pampeana"
1.13994471286658,-1.13141366971336,"Pre-1990","pampeana"
1.19078220821515,-1.11095597184267,"Pre-1990","pampeana"
1.24038250003946,-1.0896173658748,"Pre-1990","pampeana"
1.28869614568993,-1.06741912259626,"Pre-1990","pampeana"
1.33567498507387,-1.04438336969869,"Pre-1990","pampeana"
1.38127218866249,-1.02053306972156,"Pre-1990","pampeana"
1.42544230417163,-0.99589199716258,"Pre-1990","pampeana"
1.46814130186955,-0.970484714778756,"Pre-1990","pampeana"
1.50932661846675,-0.944336549101719,"Pre-1990","pampeana"
1.54895719954396,-0.917473565191677,"Pre-1990","pampeana"
1.58699354047608,-0.889922540655198,"Pre-1990","pampeana"
1.62339772581128,-0.861710938952712,"Pre-1990","pampeana"
1.6581334670659,-0.832866882022329,"Pre-1990","pampeana"
1.69116613889765,-0.80341912224729,"Pre-1990","pampeana"
1.72246281362086,-0.773397013794958,"Pre-1990","pampeana"
1.75199229402953,-0.742830483355948,"Pre-1990","pampeana"
1.7797251444954,-0.711750000312553,"Pre-1990","pampeana"
1.80563372030999,-0.680186546366197,"Pre-1990","pampeana"
1.82969219524149,-0.648171584654205,"Pre-1990","pampeana"
1.85187658727888,-0.615737028386662,"Pre-1990","pampeana"
