"era_grupo","provincia","prov_type","n","coord1","coord2"
"Pre-1990","Buenos Aires","metropolitan",48692,-0.378876395577552,-0.251526894331308
"Pre-1990","CABA","metropolitan",95272,0.240397019101493,-0.376250750362201
"Pre-1990","Catamarca","peripheral",745,-0.937257345654711,-0.293105935334429
"Pre-1990","Chaco","peripheral",2164,-0.541965541586151,-0.163507244851738
"Pre-1990","Chubut","intermediate",1464,-0.539261147074978,-0.0720538997447688
"Pre-1990","Corrientes","peripheral",2183,-0.444374919408044,-0.305642605218091
"Pre-1990","Córdoba","metropolitan",12342,-0.283910001454773,-0.0534714914356219
"Pre-1990","Entre Ríos","intermediate",3601,-0.591623558780131,-0.149686393053778
"Pre-1990","Formosa","peripheral",678,-0.808766793744648,-0.142569072635461
"Pre-1990","Jujuy","peripheral",1048,-1.13674654783509,-0.260828807869336
"Pre-1990","La Pampa","intermediate",1516,-0.593085140438941,-0.3101471260818
"Pre-1990","La Rioja","peripheral",832,-0.789854154440275,-0.223783919026993
"Pre-1990","Mendoza","intermediate",6164,-0.249010057444161,-0.0763097846549104
"Pre-1990","Misiones","peripheral",2394,-0.374812260244423,-0.0967666443977368
"Pre-1990","Neuquén","intermediate",1564,-0.471540133361033,-0.164213695215604
"Pre-1990","Río Negro","intermediate",2294,-0.42903378571097,-0.174639248124086
"Pre-1990","Salta","intermediate",2042,-0.505591043503475,-0.227299894259788
"Pre-1990","San Juan","intermediate",2089,-0.438749275472053,-0.187828884970976
"Pre-1990","San Luis","intermediate",1932,-0.100438004219105,-0.195205948306379
"Pre-1990","Santa Cruz","intermediate",640,-0.555358515786059,-0.220217852962177
"Pre-1990","Santa Fe","metropolitan",17578,-0.423729315134325,-0.132809710549413
"Pre-1990","Santiago del Estero","peripheral",1123,-0.792701625918527,-0.142134606732323
"Pre-1990","Tierra del Fuego","intermediate",581,0.11749749064793,-0.137035493288242
"Pre-1990","Tucumán","intermediate",2947,-0.408328050356382,-0.126623700954745
"Menem/Crisis","Buenos Aires","metropolitan",64869,-0.206781737783469,-0.141094821416814
"Menem/Crisis","CABA","metropolitan",138000,0.228459791577476,-0.274614563903141
"Menem/Crisis","Catamarca","peripheral",1390,-0.300309949233756,-0.157067410270558
"Menem/Crisis","Chaco","peripheral",3525,-0.50080908477638,-0.0680351976032094
"Menem/Crisis","Chubut","intermediate",2826,-0.329443578588016,-0.0181233861914528
"Menem/Crisis","Corrientes","peripheral",2730,-0.304507412937365,-0.13279424239521
"Menem/Crisis","Córdoba","metropolitan",15762,-0.104890044935614,-0.0902935901059604
"Menem/Crisis","Entre Ríos","intermediate",3842,-0.357079799726042,-0.0253946451489792
"Menem/Crisis","Formosa","peripheral",1397,-0.954025855719322,-0.207451499142395
"Menem/Crisis","Jujuy","peripheral",2128,-1.05625528348124,-0.0757514857955261
"Menem/Crisis","La Pampa","intermediate",1760,-0.679895828094809,-0.293697424471178
"Menem/Crisis","La Rioja","peripheral",1481,-0.531410720218937,0.185888436640724
"Menem/Crisis","Mendoza","intermediate",11264,-0.175657272307998,-0.203911026156255
"Menem/Crisis","Misiones","peripheral",4013,-0.328490387657898,-0.0111643599590473
"Menem/Crisis","Neuquén","intermediate",3071,-0.265133091662009,-0.00654521881922046
"Menem/Crisis","Río Negro","intermediate",3254,-0.372483360000963,-0.0121110574362599
"Menem/Crisis","Salta","intermediate",4337,-0.37490358878844,-0.0565177651780923
"Menem/Crisis","San Juan","intermediate",3514,-0.094720472678796,-0.0356684270817916
"Menem/Crisis","San Luis","intermediate",2554,-0.762866456054056,-0.192815407019631
"Menem/Crisis","Santa Cruz","intermediate",1290,-0.473656619712535,0.359278855490454
"Menem/Crisis","Santa Fe","metropolitan",21338,-0.136753998731243,-0.0922348302657509
"Menem/Crisis","Santiago del Estero","peripheral",2506,-0.510144185155112,0.28018650451438
"Menem/Crisis","Tierra del Fuego","intermediate",1431,-0.396254483544732,-0.0437319985174084
"Menem/Crisis","Tucumán","intermediate",6207,-0.558970769492808,-0.0901497284044659
"Kirchnerismo","Buenos Aires","metropolitan",99053,-0.00498607217668152,0.266510230757819
"Kirchnerismo","CABA","metropolitan",109216,0.284896587034553,-0.0670335920925603
"Kirchnerismo","Catamarca","peripheral",1600,-0.312457150591682,1.05542391091436
"Kirchnerismo","Chaco","peripheral",5478,-0.884540622056569,0.778695363468511
"Kirchnerismo","Chubut","intermediate",4230,-0.229292589438448,0.29632190786212
"Kirchnerismo","Corrientes","peripheral",4733,-0.387856538374776,0.196624632180319
"Kirchnerismo","Córdoba","metropolitan",27718,0.0881092488088898,-0.0624849789585334
"Kirchnerismo","Entre Ríos","intermediate",6002,-0.331020185372722,0.387271883628616
"Kirchnerismo","Formosa","peripheral",1821,-0.679462025104715,0.570204715266608
"Kirchnerismo","Jujuy","peripheral",3250,-0.451916105153631,1.74264409950584
"Kirchnerismo","La Pampa","intermediate",2404,-0.394541638288947,-0.193824309217355
"Kirchnerismo","La Rioja","peripheral",1785,-0.856354446759298,0.311569679394347
"Kirchnerismo","Mendoza","intermediate",17229,0.0568033749066259,-0.229502922063552
"Kirchnerismo","Misiones","peripheral",4962,-0.471396831060115,0.4473634751912
"Kirchnerismo","Neuquén","intermediate",4385,-0.150863279317059,0.335059085175202
"Kirchnerismo","Río Negro","intermediate",4760,-0.309249105171727,0.268651450780036
"Kirchnerismo","Salta","intermediate",6333,-0.398567310518946,0.316515285649642
"Kirchnerismo","San Juan","intermediate",4043,-0.148201519930342,0.368237944843014
"Kirchnerismo","San Luis","intermediate",4118,-0.262782115063842,0.185068420050377
"Kirchnerismo","Santa Cruz","intermediate",2103,-0.22570203771975,0.561906950243741
"Kirchnerismo","Santa Fe","metropolitan",24649,0.0433671746323053,0.0645017866256882
"Kirchnerismo","Santiago del Estero","peripheral",3846,-0.645399342765791,0.558269041962007
"Kirchnerismo","Tierra del Fuego","intermediate",1740,-0.223030560995109,0.0960592889894484
"Kirchnerismo","Tucumán","intermediate",7001,-0.21602709844207,0.903670356900095
"Macri","Buenos Aires","metropolitan",31098,0.166611481573077,-0.0237487679479736
"Macri","CABA","metropolitan",38313,0.306940402574003,0.138341308215756
"Macri","Catamarca","peripheral",445,0.0765941493722967,0.351188409772022
"Macri","Chaco","peripheral",2167,-1.07835240498495,0.323914601855342
"Macri","Chubut","intermediate",1719,-0.00205583864556892,0.0884401178985871
"Macri","Corrientes","peripheral",1794,-0.222904610871976,0.0354613864411525
"Macri","Córdoba","metropolitan",12594,0.140956418814994,0.0902515331954966
"Macri","Entre Ríos","intermediate",1920,-0.144718946851409,-0.0708767131869984
"Macri","Formosa","peripheral",450,-0.22000296569701,1.13427601199445
"Macri","Jujuy","peripheral",898,-0.313231597832586,1.28850648444362
"Macri","La Pampa","intermediate",959,-0.120103344132899,-0.25424117445531
"Macri","La Rioja","peripheral",364,-0.449733924456791,0.219300011466206
"Macri","Mendoza","intermediate",5698,0.14492269163007,-0.0201540070829455
"Macri","Misiones","peripheral",858,-0.498010311941282,0.1579606286947
"Macri","Neuquén","intermediate",1675,0.050190178062489,0.227937626656053
"Macri","Río Negro","intermediate",2146,0.0377297435197914,0.0411987251899996
"Macri","Salta","intermediate",1920,-0.242937127514331,0.139935542480298
"Macri","San Juan","intermediate",1445,-0.0609258959067075,0.211156898000652
"Macri","San Luis","intermediate",1319,0.0927324567554392,0.140192421496657
