"era_grupo","region","region_es","n","centro1","centro2","inercia","lambda1","lambda2","amplitud_sd"
"Pre-1990","pampeana","Pampeana",179001,-0.0503659982469469,-0.227239199762821,2.64605489917197,1.09057107790959,0.645654018593785,0.596048405637244
"Pre-1990","noa","Noroeste",8737,-0.61441536661686,-0.149668828391519,3.44075141175092,1.86530721758066,0.611934487110128,0.596048405637244
"Pre-1990","nea","Noreste",7419,-0.457726871605427,-0.142006977279526,3.31999597544163,1.69857368587897,0.558750135457349,0.596048405637244
"Pre-1990","cuyo","Cuyo",10185,-0.245799351187669,-0.0950484716700472,2.97451937585256,1.40859421625484,0.498677427217434,0.596048405637244
"Pre-1990","patagonia","Patagonia",6543,-0.404723135918734,-0.117360075915351,3.36637210300016,1.60722619300059,0.583668874452347,0.596048405637244
"Menem/Crisis","pampeana","Pampeana",245571,0.0422881183798257,-0.162325967323849,2.47142393207313,0.83092394698444,0.64453445853778,0.589097763335409
"Menem/Crisis","noa","Noroeste",18049,-0.515183755003043,-0.00894376146906132,3.78966260208358,1.6981692043097,0.899914744195322,0.589097763335409
"Menem/Crisis","nea","Noreste",11665,-0.425712715367701,-0.0627137699133283,3.29729957815899,1.63802984726074,0.686564147674604,0.589097763335409
"Menem/Crisis","cuyo","Cuyo",17332,-0.232582574565416,-0.131298919329701,3.1689505051057,1.33500366793896,0.629640461843047,0.589097763335409
"Menem/Crisis","patagonia","Patagonia",11872,-0.329627713022451,0.0190828077221341,3.43919836805851,1.39602427420289,0.756282609651478,0.589097763335409
"Kirchnerismo","pampeana","Pampeana",269042,0.109731715984579,0.060344848609574,2.89492346814224,0.83316794753444,0.715728458555704,0.719558497203863
"Kirchnerismo","noa","Noroeste",23815,-0.397995985808783,0.602803269643494,5.37705256253761,2.37616905990099,1.49269818188856,0.719558497203863
"Kirchnerismo","nea","Noreste",16994,-0.571197067675408,0.388432549504221,4.86330916284329,1.73074130754954,1.44760205493282,0.719558497203863
"Kirchnerismo","cuyo","Cuyo",25390,-0.0261885735706585,-0.0523756519513168,3.13142012141462,1.02360022244175,0.671558095344211,0.719558497203863
"Kirchnerismo","patagonia","Patagonia",17218,-0.217984990179314,0.242615791471402,3.719468503319,1.25703766591302,1.03936859088684,0.719558497203863
"Macri","pampeana","Pampeana",94038,0.188822838005956,0.0406718643095829,2.79084188655617,0.872442451754932,0.613494838724135,0.818812465627737
"Macri","noa","Noroeste",6733,-0.277300613005974,0.221156908552363,4.651784302277,1.99048462743994,1.00904209032898,0.818812465627737
"Macri","nea","Noreste",5269,-0.58603143504082,0.20915854341514,5.82680348039961,3.05079458677545,1.1260903966985,0.818812465627737
"Macri","cuyo","Cuyo",8462,0.0961798076420771,0.0346187924819596,3.221091513986,1.1206500081392,0.766641453068414,0.818812465627737
"Macri","patagonia","Patagonia",6806,0.0085214161225926,0.0806870614261173,3.42133672908001,1.14784066720291,0.817431424662618,0.818812465627737
"Fernández","pampeana","Pampeana",93962,0.106480516075413,0.175655495804047,3.1333301041431,0.954806133645445,0.696492488167879,0.885552261951001
"Fernández","noa","Noroeste",10577,-0.303349955645969,0.642259111277376,5.29255838575437,2.17605533873849,1.74016099609175,0.885552261951001
"Fernández","nea","Noreste",7812,-0.731530607329896,0.343986765452083,6.58968982022216,4.10888542388473,1.16726333518917,0.885552261951001
"Fernández","cuyo","Cuyo",11398,0.0961080141543467,0.232852386483216,3.16037703719701,1.34293991799475,0.613270480431414,0.885552261951001
"Fernández","patagonia","Patagonia",7805,-0.00627098902950073,0.41681026105141,3.72279312642881,1.44138485504112,0.990897974567415,0.885552261951001
"Milei","pampeana","Pampeana",42698,0.253610656068567,0.100962644606462,2.56524504077654,0.921815173671063,0.509378179777414,0.251926629685505
"Milei","noa","Noroeste",4307,0.0152087829895675,0.336125888232717,3.85135653900392,1.7529208686283,0.85904547058432,0.251926629685505
"Milei","nea","Noreste",1763,0.0982176898491094,0.164804662158752,3.48393575782133,1.61407825160123,0.753225145444742,0.251926629685505
"Milei","cuyo","Cuyo",5291,0.231759725649139,0.240526115470682,2.28661726077456,0.990494321421078,0.441962029272806,0.251926629685505
"Milei","patagonia","Patagonia",3610,0.205223956634603,0.295280526759758,2.7410891306621,1.08098973524056,0.606436427790707,0.251926629685505
