"variable","categoria","n","coord1","coord2"
"era","c_kirchner",204183,0.000421592671091,0.246806206895507
"era","crisis",65899,-0.0912549895230954,-0.195604134109588
"era","fernandez",131554,0.0170964918606372,0.310499844213494
"era","macri",121308,0.119112058117992,0.0766297696959001
"era","menem",238590,-0.0271654623163153,-0.17575488378419
"era","milei",57669,0.238843918480843,0.186284965028868
"era","n_kirchner",148276,0.0416032480889976,0.00599177962112488
"era","pre1990",211885,-0.114364265675517,-0.270640972971525
"estado","AC",1179346,1.1573933023401e-05,1.49351294685116e-05
"estado","BD",18,-0.758315089756712,-0.978538066574062
"prov_type","intermediate",200704,-0.184854670436519,0.116839943565393
"prov_type","metropolitan",897857,0.0922359691431924,-0.0574711053739398
"prov_type","peripheral",80803,-0.565741850818762,0.348385458762433
"provincia","Buenos Aires",284866,-0.0783936226843812,0.0456638926562086
"provincia","CABA",432155,0.258266480647644,-0.158601415849827
"provincia","Catamarca",5077,-0.287658741170202,0.400129223284617
"provincia","Chaco",17705,-0.862720052306976,0.296771184801043
"provincia","Chubut",12903,-0.219237834500335,0.201930020616317
"provincia","Córdoba",95132,0.0443114083643909,0.048377078998316
"provincia","Corrientes",14051,-0.285998871905259,0.0506496832078664
"provincia","Entre Ríos",18402,-0.340941328162662,0.137789936884883
"provincia","Formosa",5165,-0.637478175829233,0.426667150361368
"provincia","Jujuy",8661,-0.612083041788234,0.914514244147479
"provincia","La Pampa",8053,-0.387058243608522,-0.215342514361962
"provincia","La Rioja",5183,-0.647423796884864,0.214995987911447
"provincia","Mendoza",52247,0.0092107264541627,-0.0767125495297212
"provincia","Misiones",14001,-0.40190789017944,0.23025321965483
"provincia","Neuquén",13661,-0.105446692164124,0.223173314175877
"provincia","Río Negro",15665,-0.220743521977628,0.14357145425349
"provincia","Salta",19378,-0.312251331267824,0.20341156669612
"provincia","San Juan",13682,-0.107792609701837,0.207299255717429
"provincia","San Luis",12129,-0.272151910409166,0.0592309231719422
"provincia","Santa Cruz",5668,-0.271703229116152,0.379726464134014
"provincia","Santa Fe",85704,-0.124617235813913,-0.0078262171639462
"provincia","Santiago del Estero",10960,-0.673688937482572,0.519222481587465
"provincia","Tierra del Fuego",5957,-0.141032223984409,0.140441767067503
"provincia","Tucumán",22959,-0.316100168396484,0.360127884399623
