"provincia","region","tipo","n","pct"
"Buenos Aires","pampeana","Asoc",1298,9.31601234479294
"Buenos Aires","pampeana","Coop",345,2.47613579272231
"Buenos Aires","pampeana","Fund",48,0.344505849422235
"Buenos Aires","pampeana","Mutual",13,0.0933036675518553
"Buenos Aires","pampeana","Otra",1696,12.172540012919
"Buenos Aires","pampeana","SA",3166,22.7230316514749
"Buenos Aires","pampeana","SAS",704,5.05275245819278
"Buenos Aires","pampeana","SRL",6663,47.821718222924
"CABA","pampeana","Asoc",531,2.50306401433016
"CABA","pampeana","Coop",84,0.39596492882059
"CABA","pampeana","Fund",69,0.325256905816913
"CABA","pampeana","Mutual",12,0.0565664184029415
"CABA","pampeana","Otra",324,1.52729329687942
"CABA","pampeana","SA",5416,25.5303101725276
"CABA","pampeana","SAS",3524,16.6116715376638
"CABA","pampeana","SRL",11254,53.0498727255586
"Catamarca","noa","Asoc",7,2.5
"Catamarca","noa","Coop",13,4.64285714285714
"Catamarca","noa","Fund",3,1.07142857142857
"Catamarca","noa","Otra",2,0.714285714285714
"Catamarca","noa","SA",14,5
"Catamarca","noa","SAS",149,53.2142857142857
"Catamarca","noa","SRL",92,32.8571428571429
"Chaco","nea","Asoc",47,6.70470756062767
"Chaco","nea","Coop",3,0.427960057061341
"Chaco","nea","Fund",25,3.56633380884451
"Chaco","nea","Otra",25,3.56633380884451
"Chaco","nea","SA",26,3.70898716119829
"Chaco","nea","SAS",394,56.2054208273894
"Chaco","nea","SRL",181,25.8202567760342
"Chubut","patagonia","Asoc",54,6.49819494584838
"Chubut","patagonia","Coop",35,4.21179302045728
"Chubut","patagonia","Fund",16,1.92539109506619
"Chubut","patagonia","Mutual",3,0.36101083032491
"Chubut","patagonia","Otra",52,6.2575210589651
"Chubut","patagonia","SA",25,3.00842358604091
"Chubut","patagonia","SAS",380,45.7280385078219
"Chubut","patagonia","SRL",266,32.0096269554753
"Córdoba","pampeana","Asoc",518,5.75491612043106
"Córdoba","pampeana","Coop",80,0.888790134429508
"Córdoba","pampeana","Fund",238,2.64415064992779
"Córdoba","pampeana","Mutual",9,0.0999888901233196
"Córdoba","pampeana","Otra",157,1.74425063881791
