"provincia","pda_per_100k","hhi_empleo","pct_with_account","region","H_completo","sas_milei","diferencial_provincial"
"Buenos Aires",242.383148525925,0.0374015216464007,99.3,"pampeana",1.43540772433627,5.05275245819278,-1928.77929213516
"CABA",454.190527718286,0.0404796461912964,100,"pampeana",1.18399513807928,16.6116715376638,319.926420432956
"Catamarca",263.654594785891,0.0591565119032647,100,"noa",1.16983533457457,53.2142857142857,-15.7200985554845
"Chaco",274.436146438024,0.0649010946538843,100,"nea",1.23793257134151,56.2054208273894,-50.1534887945036
"Chubut",291.024737102654,0.0540147416939026,100,"patagonia",1.40865718324765,45.7280385078219,-29.6835976783485
"Córdoba",344.660585740117,0.0464070846821398,99.79,"pampeana",0.940511140317236,76.0137762470837,1925.86449713813
"Corrientes",246.790339128747,0.062960674116801,96.96,"nea",1.44097195757025,41.1273486430063,-240.940807888115
"Entre Ríos",280.352927442417,0.0651288433022934,99.25,"pampeana",1.6145285009335,26.6908212560386,-148.146095066699
"Formosa",211.283580154898,0.0716368212799157,100,"nea",1.53764618361726,38.3673469387755,-40.4218995439256
"Jujuy",236.252056940536,0.0615874483774522,95.26,"noa",1.33690246260843,42.018779342723,-39.5605597943801
"La Pampa",430.653017706947,0.0646567150556539,100,"pampeana",1.48080884826388,41.8918918918919,-33.3108635024914
"La Rioja",275.749508882885,0.0557888196025907,99.6,"noa",1.32660125588723,34.020618556701,-59.7453359715217
"Mendoza",299.460920161737,0.0475244250200873,97.6,"cuyo",0.689697828926083,83.4133461353817,1042.7687598271
"Misiones",267.779410948155,0.0535848948504699,100,"nea",1.43377128240241,43.8202247191011,-250.957536716025
"Neuquén",302.653932359701,0.0596471791880149,99.64,"patagonia",1.09149531524994,60.5646630236794,79.3712702989314
"Río Negro",318.129693337772,0.053520021512321,100,"patagonia",1.02624668247313,71.9132893496701,34.9604513379744
"Salta",239.408413052503,0.0528441137876545,96.97,"noa",1.22235706307365,59.6153846153846,75.4665797500657
"San Juan",259.279627372702,0.0449952726341718,96.94,"cuyo",0.690750856174666,79.5343137254902,-15.4619784917205
"San Luis",391.97225899066,0.0453105587176269,95.76,"cuyo",1.07965141941252,66.9172932330827,-30.3257636979289
"Santa Cruz",362.825416267058,0.0599430602553664,100,"patagonia",1.46586976263366,47.3262032085562,12.9296059400776
"Santa Fe",344.591328917947,0.0442883998928727,99.42,"pampeana",1.5709990684794,22.1236559139785,-793.459309455452
"Santiago del Estero",218.191194993504,0.0698371622990961,98.86,"noa",1.43712838766632,35.2857142857143,-8.66554486945107
"Tierra del Fuego",347.792616623937,0.0741554434999625,98.29,"patagonia",0.956348737205836,75.9674134419552,68.5642209238968
"Tucumán",207.676031303651,0.0755563421752329,95.22,"noa",1.05978439748927,70,125.480366512073
