"provincia","prov_type","stock_coop_mutual","pob_empleo","coop_por_100k","asoc_kirchnerismo","asoc_milei","H_completo","retencion"
"Santa Cruz","intermediate",659,259629,253.823725392772,34.995340167754,22.9946524064171,1.46586976263366,0.657077550787898
"Jujuy","peripheral",1568,633222,247.622476793289,56.5856585658566,13.3802816901408,1.33690246260843,0.2364606515018
"Tucumán","intermediate",2533,1353069,187.204052417135,35.4323432343234,8.25301204819277,1.05978439748927,0.23292312319322
"Chaco","peripheral",1620,869419,186.331331613411,54.1749323715059,7.13266761768902,1.23793257134151,0.131659926564865
"La Rioja","peripheral",527,303899,173.412877304631,46.8367889420521,6.18556701030928,1.32660125588723,0.132066419368805
"CABA","metropolitan",4444,2668924,166.5090500891,4.93492604408353,2.95559536155369,1.18399513807928,0.598913810491071
"Catamarca","peripheral",516,339080,152.176477527427,42.1338155515371,7.14285714285714,1.16983533457457,0.169527896995708
"Río Negro","intermediate",852,594726,143.259248796925,29.2144026186579,7.91705937794533,1.02624668247313,0.270998503077008
"Santiago del Estero","peripheral",1148,806632,142.320165825308,46.7545638945233,48.5714285714286,1.43712838766632,1.03885962193988
"Chubut","intermediate",581,466627,124.510583399589,26.2355658198614,11.0709987966306,1.40865718324765,0.421984373146218
"Entre Ríos","intermediate",1385,1122157,123.423014783136,34.7394136807818,13.8888888888889,1.6145285009335,0.399802052404022
"Misiones","peripheral",1088,954517,113.984350200154,39.2277227722772,7.41573033707865,1.43377128240241,0.18904310046566
"Tierra del Fuego","intermediate",165,145489,113.410635855632,23.6782902137233,9.77596741344195,0.956348737205836,0.412866272235149
"Neuquén","intermediate",612,560376,109.212385969421,24.3370786516854,5.00910746812386,1.09149531524994,0.205822052014323
"San Juan","intermediate",687,630979,108.878425430957,23.939541686982,2.57352941176471,0.690750856174666,0.107501198035222
"Buenos Aires","metropolitan",14598,13857399,105.344444509392,21.421417450889,11.8854518050671,1.43540772433627,0.554839652059246
"Santa Fe","metropolitan",2878,2824215,101.904422998957,15.4916586461341,14.3548387096774,1.5709990684794,0.926617287249589
"Mendoza","intermediate",1606,1594198,100.740309547497,13.4594563792809,4.94479116658665,0.689697828926083,0.3673841667334
"Formosa","peripheral",462,462885,99.8088078032341,50.1604278074866,27.7551020408163,1.53764618361726,0.553326661154867
"Salta","intermediate",969,1096035,88.4095854603183,24.3398570984778,6.11263736263736,1.22235706307365,0.251136945377533
"Córdoba","metropolitan",2438,3062143,79.6174443845372,11.5759863267341,6.74369514498389,0.940511140317236,0.582559010925031
"San Luis","intermediate",316,429112,73.6404481813606,25.4493850520341,14.6616541353383,1.07965141941252,0.576110350225005
"Corrientes","peripheral",603,937638,64.3105334894703,28.80615640599,6.88935281837161,1.44097195757025,0.239162515167731
"La Pampa","intermediate",131,287006,45.6436450805907,28.3844580777096,10.8108108108108,1.48080884826388,0.380870784328998
