"provincia","prov_type","sas_macri","sas_fernandez","sas_milei"
"Mendoza","intermediate",32.2164948453608,65.9909122684376,83.4133461353817
"San Juan","intermediate",36.6531165311653,58.8697017268446,79.5343137254902
"Córdoba","metropolitan",44.4721659129892,66.9120808254514,76.0137762470837
"Tierra del Fuego","intermediate",18.7142857142857,54.7597461468722,75.9674134419552
"Río Negro","intermediate",28.1122679945677,55.0454742312689,71.9132893496701
"Tucumán","intermediate",23.9359267734554,44.040404040404,70
"San Luis","intermediate",19.8353293413174,46.5069860279441,66.9172932330827
"Neuquén","intermediate",20.7403055229142,44.4332998996991,60.5646630236794
"Salta","intermediate",20.3037974683544,43.8105787870396,59.6153846153846
"Chaco","peripheral",17.6926584587323,20.6787687450671,56.2054208273894
"Catamarca","peripheral",2.57510729613734,16.5204678362573,53.2142857142857
"Santa Cruz","intermediate",25.7851239669421,42.6718547341115,47.3262032085562
"Chubut","intermediate",14.4878324844369,27.492596248766,45.7280385078219
"Misiones","peripheral",8.17253121452895,19.5637355146558,43.8202247191011
"Jujuy","peripheral",8.71905274488697,18.1058495821727,42.018779342723
"La Pampa","intermediate",12.3867069486405,31.7120622568093,41.8918918918919
"Corrientes","peripheral",14.6420824295011,50.8558558558559,41.1273486430063
"Formosa","peripheral",9.76138828633406,15.8050221565731,38.3673469387755
"Santiago del Estero","peripheral",2.16535433070866,16.8601716304897,35.2857142857143
"La Rioja","peripheral",1.05263157894737,8.02675585284281,34.020618556701
"Entre Ríos","intermediate",16.5478615071283,21.7245709501884,26.6908212560386
"Santa Fe","metropolitan",11.8928685301307,13.5287033319952,22.1236559139785
"CABA","metropolitan",22.5765591237613,4.24430089157012,16.6116715376638
"Buenos Aires","metropolitan",13.2454074422986,8.01088738362562,5.05275245819278
