"provincia","prov_type","H_completo","H_fusion","n","H_ic_inf","H_ic_sup"
"Entre Ríos","intermediate",1.6145285009335,1.18431329631596,828,1.55646788738032,1.6582049165541
"Santa Fe","metropolitan",1.5709990684794,1.15687025436395,3720,1.54549738091453,1.59520703863386
"Formosa","peripheral",1.53764618361726,1.12517910188843,245,1.43438771692034,1.60581464324849
"La Pampa","intermediate",1.48080884826388,1.07106644779641,444,1.39847965085124,1.54326097832908
"Santa Cruz","intermediate",1.46586976263366,1.05889284242136,374,1.3691554409158,1.54361318827772
"Corrientes","peripheral",1.44097195757025,0.923383160014575,479,1.35857121952939,1.50969966941052
"Santiago del Estero","peripheral",1.43712838766632,1.14122548500983,700,1.38512727744301,1.47827363895383
"Buenos Aires","metropolitan",1.43540772433627,1.26873724383869,13933,1.42180132016461,1.449865465494
"Misiones","peripheral",1.43377128240241,0.92808025111726,445,1.34579348436902,1.50606351753283
"Chubut","intermediate",1.40865718324765,0.881988849584761,831,1.3391773812209,1.46778152361244
"Jujuy","peripheral",1.33690246260843,0.790104638512205,426,1.24159237598196,1.41662625631219
"La Rioja","peripheral",1.32660125588723,0.784498945970356,194,1.18084458709383,1.43338585811719
"Chaco","peripheral",1.23793257134151,0.72701594860831,701,1.16174923133106,1.3046509876903
"Salta","intermediate",1.22235706307365,0.739818809090501,1456,1.16409742586396,1.27404955360068
"CABA","metropolitan",1.18399513807928,0.801343379487398,21214,1.17278169652441,1.19404353518019
"Catamarca","peripheral",1.16983533457457,0.597537076371489,280,1.04557516486275,1.2623111243622
"Neuquén","intermediate",1.09149531524994,0.54996974668904,1098,1.02712492426383,1.14555870776618
"San Luis","intermediate",1.07965141941252,0.73566704090476,798,1.00107769046087,1.15194294865376
"Tucumán","intermediate",1.05978439748927,0.752144140643677,1660,1.00507197613935,1.11020841482699
"Río Negro","intermediate",1.02624668247313,0.703053859639116,1061,0.944601452243364,1.09315071448484
"Tierra del Fuego","intermediate",0.956348737205836,0.708173448998213,491,0.839988149452271,1.05319452084641
"Córdoba","metropolitan",0.940511140317236,0.698805862590995,9001,0.914840940375191,0.965351090066718
"San Juan","intermediate",0.690750856174666,0.271361665176251,816,0.622730815792353,0.758863995391372
"Mendoza","intermediate",0.689697828926083,0.549842500212067,4166,0.652326902945676,0.723187042523012
