"provincia","region","era","H","n"
"Buenos Aires","pampeana","pre1990",1.42993202447411,49823
"Buenos Aires","pampeana","menem",1.35117500094962,49249
"Buenos Aires","pampeana","crisis",1.34434496625123,16002
"Buenos Aires","pampeana","n_kirchner",1.29419829251904,39274
"Buenos Aires","pampeana","c_kirchner",1.40544781565087,61569
"Buenos Aires","pampeana","macri",1.61095116517622,31845
"Buenos Aires","pampeana","fernandez",1.67416881066984,32331
"Buenos Aires","pampeana","milei",1.43540772433627,13933
"CABA","pampeana","pre1990",1.09781588512777,95555
"CABA","pampeana","menem",1.02774098559433,112673
"CABA","pampeana","crisis",1.08412598596779,25451
"CABA","pampeana","n_kirchner",1.02390679422291,48911
"CABA","pampeana","c_kirchner",0.979317253833176,61425
"CABA","pampeana","macri",1.38121722333389,40263
"CABA","pampeana","fernandez",1.19050007213036,37462
"CABA","pampeana","milei",1.18399513807928,21214
"Catamarca","noa","pre1990",1.26351908234471,764
"Catamarca","noa","menem",1.28697759339331,1164
"Catamarca","noa","crisis",1.26663623598504,234
"Catamarca","noa","n_kirchner",1.29091766841514,620
"Catamarca","noa","c_kirchner",1.27214585826956,1039
"Catamarca","noa","macri",1.1710342368772,466
"Catamarca","noa","fernandez",1.43519325139584,684
"Catamarca","noa","milei",1.16983533457457,280
"Chaco","nea","pre1990",1.4386068447081,2187
"Chaco","nea","menem",1.22360053573117,2859
"Chaco","nea","crisis",1.30804166798987,676
"Chaco","nea","n_kirchner",1.48559700677637,1622
"Chaco","nea","c_kirchner",1.5396836059723,3923
"Chaco","nea","macri",1.79514340831162,2193
"Chaco","nea","fernandez",1.54804964740909,3801
"Chaco","nea","milei",1.23793257134151,701
"Chubut","patagonia","pre1990",1.47465096975406,1481
"Chubut","patagonia","menem",1.3285336523185,2223
"Chubut","patagonia","crisis",1.31445960165172,622
"Chubut","patagonia","n_kirchner",1.23668672306921,1684
"Chubut","patagonia","c_kirchner",1.35999994777769,2646
"Chubut","patagonia","macri",1.66565498491671,1767
"Chubut","patagonia","fernandez",1.70933562284707,2026
"Chubut","patagonia","milei",1.40865718324765,831
"Corrientes","nea","pre1990",1.46179971699398,2200
"Corrientes","nea","menem",1.35920829332924,2209
"Corrientes","nea","crisis",1.54988383089365,542
"Corrientes","nea","n_kirchner",1.47090244792414,1664
"Corrientes","nea","c_kirchner",1.49317172264988,3144
"Corrientes","nea","macri",1.67606682943807,1844
