"provincia","region","diferencial_provincial_fern","diferencial_provincial_milei","invierte"
"Buenos Aires","pampeana",-1869.78638901126,-1928.77929213516,FALSE
"CABA","pampeana",-895.897065620054,319.926420432956,TRUE
"Catamarca","noa",-19.2878355651867,-15.7200985554845,FALSE
"Chaco","nea",360.678804567054,-50.1534887945036,TRUE
"Chubut","patagonia",34.2349341719048,-29.6835976783485,TRUE
"Córdoba","pampeana",1929.46314644276,1925.86449713813,FALSE
"Corrientes","nea",16.6408847314449,-240.940807888115,TRUE
"Entre Ríos","pampeana",-57.5616381100997,-148.146095066699,FALSE
"Formosa","nea",-35.3219990212064,-40.4218995439256,FALSE
"Jujuy","noa",-124.543691213549,-39.5605597943801,FALSE
"La Pampa","pampeana",-14.2815904402633,-33.3108635024914,FALSE
"La Rioja","noa",-52.5847276146566,-59.7453359715217,FALSE
"Mendoza","cuyo",878.523008511614,1042.7687598271,FALSE
"Misiones","nea",-194.283888781753,-250.957536716025,FALSE
"Neuquén","patagonia",9.33775241970704,79.3712702989314,FALSE
"Río Negro","patagonia",32.1658632196074,34.9604513379744,FALSE
"Salta","noa",145.412297394166,75.4665797500657,FALSE
"San Juan","cuyo",22.1676625883121,-15.4619784917205,TRUE
"San Luis","cuyo",-82.0816612215695,-30.3257636979289,FALSE
"Santa Cruz","patagonia",-25.4817789999075,12.9296059400776,TRUE
"Santa Fe","pampeana",-189.019024439367,-793.459309455452,FALSE
"Santiago del Estero","noa",69.8877073666946,-8.66554486945107,TRUE
"Tierra del Fuego","patagonia",89.7830238434475,68.5642209238968,FALSE
"Tucumán","noa",-28.1637952178451,125.480366512073,TRUE
