"provincia","prov_type","tasa_ref","tasa_comp","cambio_real","efecto_nacional","mix_estructural","diferencial_provincial","total_descompuesto","residuo","formas_sin_base","pct_sas","pct_coop"
"Buenos Aires","metropolitan",7757.15384615385,8082.75,325.596153846154,2201.90776890707,-6.52522604966154,-1869.78638901126,325.596153846154,0,"",8.01088738362562,11.4936129411401
"CABA","metropolitan",8487.38461538462,9365.5,878.115384615385,2409.1875052322,-635.17505499676,-895.897065620054,878.115384615385,0,"",4.24430089157012,3.25663338850035
"Misiones","peripheral",388.461538461538,366.75,-21.7115384615385,110.266793262603,62.3055570576108,-194.283888781753,-21.7115384615385,0,"",19.5637355146558,25.494205862304
"Santa Fe","metropolitan",1918.15384615385,2491,572.846153846154,544.477773623025,217.387404662496,-189.019024439367,572.846153846154,0,"",13.5287033319952,8.70132476916901
"Jujuy","peripheral",256.384615384615,269.25,12.8653846153846,72.7760835533182,64.6329922756157,-124.543691213549,12.8653846153846,0,"",18.1058495821727,38.7186629526462
"San Luis","intermediate",325.230769230769,375.75,50.5192307692308,92.3184162206509,40.2824757701494,-82.0816612215695,50.5192307692308,0,"",46.5069860279441,1.9294743845642
"Entre Ríos","intermediate",472.307692307692,597.25,124.942307692308,134.066952600472,48.4369932019352,-57.5616381100997,124.942307692308,0,"",21.7245709501884,14.1900376726664
"La Rioja","peripheral",144.692307692308,149.5,4.80769230769232,41.0716511142489,16.3207688081,-52.5847276146566,4.8076923076923,0,"",8.02675585284281,20.4013377926421
"Formosa","peripheral",143.846153846154,169.25,25.4038461538462,40.8314660200135,19.894379155039,-35.3219990212064,25.4038461538462,0,"",15.8050221565731,45.9379615952733
"Tucumán","intermediate",582.692307692308,866.25,283.557692307692,165.400189893905,146.321297631632,-28.1637952178451,283.557692307692,0,"",44.040404040404,19.8268398268398
"Santa Cruz","intermediate",165.076923076923,192.75,27.6730769230769,46.8579283844647,6.29692753851974,-25.4817789999075,27.6730769230769,0,"",42.6718547341115,16.8612191958495
"Catamarca","peripheral",127.615384615385,171,43.3846153846154,36.2242792124077,26.4481717373944,-19.2878355651867,43.3846153846154,0,"",16.5204678362573,20.906432748538
"La Pampa","intermediate",188.076923076923,257,68.9230769230769,53.3865959459535,29.8180714173867,-14.2815904402633,68.9230769230769,0,"",31.7120622568093,4.96108949416342
"Neuquén","intermediate",342.307692307692,498.5,156.192307692308,97.1657881224921,49.6887671501086,9.33775241970704,156.192307692308,0,"",44.4332998996991,7.8234704112337
"Corrientes","peripheral",369.846153846154,555,185.153846153846,104.982721189425,63.5302402329761,16.6408847314449,185.153846153846,0,"",50.8558558558559,7.25225225225225
"San Juan","intermediate",315.538461538462,477.75,162.211538461538,89.5672051412275,50.4766707319989,22.1676625883121,162.211538461539,0,"",58.8697017268446,12.1925693354265
"Río Negro","intermediate",376,577.25,201.25,106.729521874773,62.3546149056193,32.1658632196074,201.25,0,"",55.0454742312689,7.88220008661758
"Chubut","intermediate",333.076923076923,506.5,173.423076923077,94.5455870944698,44.6425556567023,34.2349341719048,173.423076923077,0,"",27.492596248766,16.3869693978282
"Santiago del Estero","peripheral",303.384615384615,495.25,191.865384615385,86.1172737876649,35.8604034610251,69.8877073666946,191.865384615385,0,"",16.8601716304897,36.3452801615346
"Tierra del Fuego","intermediate",136.769230769231,275.75,138.980769230769,38.8226452318631,10.3751001554586,89.7830238434475,138.980769230769,0,"",54.7597461468722,11.6953762466002
"Salta","intermediate",495.230769230769,902.75,407.519230769231,140.573785153394,121.533148221671,145.412297394166,407.519230769231,0,"",43.8105787870396,12.2957629465522
"Chaco","peripheral",426.538461538462,950.25,523.711538461538,121.075122503195,41.9576113912896,360.678804567054,523.711538461538,0,"",20.6787687450671,8.02420415680084
"Mendoza","intermediate",1349.92307692308,2145.75,795.826923076923,383.182565339688,-465.878650774379,878.523008511614,795.826923076923,0,"",65.9909122684376,1.88745193988116
"Córdoba","metropolitan",2160.30769230769,4652,2491.69230769231,613.214380591476,-50.9852193419305,1929.46314644276,2491.69230769231,0,"",66.9120808254514,3.09544282029235
