"provincia","region","tasa_ref","tasa_comp","cambio_real","efecto_nacional","mix_estructural","diferencial_provincial","total_descompuesto","residuo","formas_sin_base","pct_sas","pct_coop"
"Buenos Aires","pampeana",7757.15384615385,6966.5,-790.653846153846,1439.23541123681,-301.109965255494,-1928.77929213516,-790.653846153846,0,"",5.05275245819278,2.47613579272231
"Santa Fe","pampeana",1918.15384615385,1860,-58.1538461538462,355.887609597107,379.417853704499,-793.459309455452,-58.1538461538462,0,"",22.1236559139785,2.33870967741935
"Misiones","nea",388.461538461538,222.5,-165.961538461538,72.073806082186,12.922192172301,-250.957536716025,-165.961538461538,0,"",43.8202247191011,4.04494382022472
"Corrientes","nea",369.846153846154,239.5,-130.346153846154,68.6199722065644,41.9746818353969,-240.940807888115,-130.346153846154,0,"",41.1273486430063,0.417536534446764
"Entre Ríos","pampeana",472.307692307692,414,-58.3076923076923,87.6303305632915,2.20807219571546,-148.146095066699,-58.3076923076923,0,"",26.6908212560386,3.98550724637681
"La Rioja","noa",144.692307692308,97,-47.6923076923077,26.8457087605132,-14.7926804812993,-59.7453359715217,-47.6923076923077,0,"",34.020618556701,3.09278350515464
"Chaco","nea",426.538461538462,350.5,-76.0384615384615,79.1384662823211,-105.023439026279,-50.1534887945036,-76.0384615384615,0,"",56.2054208273894,0.427960057061341
"Formosa","nea",143.846153846154,122.5,-21.3461538461538,26.6887163116214,-7.61297061384963,-40.4218995439256,-21.3461538461538,0,"",38.3673469387755,19.5918367346939
"Jujuy","noa",256.384615384615,213,-43.3846153846154,47.5687120142428,-51.392767604478,-39.5605597943801,-43.3846153846154,0,"",42.018779342723,11.2676056338028
"La Pampa","pampeana",188.076923076923,222,33.9230769230769,34.8951397764247,32.3388006491436,-33.3108635024914,33.9230769230769,0,"",41.8918918918919,1.35135135135135
"San Luis","cuyo",325.230769230769,399,73.7692307692308,60.3421885377193,43.7528059294403,-30.3257636979289,73.7692307692307,0,"",66.9172932330827,1.2531328320802
"Chubut","patagonia",333.076923076923,415.5,82.4230769230769,61.7979367001714,50.308737901254,-29.6835976783485,82.4230769230769,0,"",45.7280385078219,4.21179302045728
"Catamarca","noa",127.615384615385,140,12.3846153846154,23.6773157010587,4.42739823904118,-15.7200985554845,12.3846153846154,0,"",53.2142857142857,4.64285714285714
"San Juan","cuyo",315.538461538462,408,92.4615384615385,58.5439113958667,49.3796055573923,-15.4619784917205,92.4615384615385,0,"",79.5343137254902,1.47058823529412
"Santiago del Estero","noa",303.384615384615,350,46.6153846153846,56.2889289481469,-1.00799946331117,-8.66554486945107,46.6153846153846,0,"",35.2857142857143,23
"Santa Cruz","patagonia",165.076923076923,187,21.9230769230769,30.627799574727,-21.6343285917276,12.9296059400776,21.9230769230769,0,"",47.3262032085562,17.6470588235294
"Río Negro","patagonia",376,530.5,154.5,69.7617354712327,49.7778131907928,34.9604513379744,154.5,0,"",71.9132893496701,1.31950989632422
"Tierra del Fuego","patagonia",136.769230769231,245.5,108.730769230769,25.3756885572528,14.7908597496196,68.5642209238968,108.730769230769,0,"",75.9674134419552,3.46232179226069
"Salta","noa",495.230769230769,728,232.769230769231,91.8833987241809,65.4192522949841,75.4665797500657,232.769230769231,0,"",59.6153846153846,2.74725274725275
"Neuquén","patagonia",342.307692307692,549,206.692307692308,63.5105815971738,63.8104557962025,79.3712702989314,206.692307692308,0,"",60.5646630236794,1.27504553734062
"Tucumán","noa",582.692307692308,830,247.307692307692,108.110709123279,13.7166166723401,125.480366512073,247.307692307692,0,"",70,5.06024096385542
"CABA","pampeana",8487.38461538462,10607,2119.61538461538,1574.71989463051,224.969069551918,319.926420432956,2119.61538461538,0,"",16.6116715376638,0.39596492882059
"Mendoza","cuyo",1349.92307692308,2083,733.076923076923,250.460044145798,-560.151880895977,1042.7687598271,733.076923076923,0,"",83.4133461353817,0.168026884301488
"Córdoba","pampeana",2160.30769230769,4500.5,2340.19230769231,400.815994061804,13.5118164923701,1925.86449713813,2340.19230769231,0,"",76.0137762470837,0.888790134429508
