"provincia","region","dif_fernandez","pct_sas_fernandez","dif_milei","pct_sas_milei"
"Córdoba","pampeana",-478.416151092093,66.9120808254514,-601.754526386107,76.0137762470837
"Mendoza","cuyo",-382.827824818448,65.9909122684376,-498.753498351035,83.4133461353817
"Tucumán","noa",-193.686925620886,44.040404040404,-181.681437081212,70
"Misiones","nea",-129.515368739473,19.5637355146558,-175.322195971178,43.8202247191011
"Santa Fe","pampeana",286.390878463694,13.5287033319952,-175.183034773744,22.1236559139785
"Corrientes","nea",-135.938130293434,50.8558558558559,-175.005733875816,41.1273486430063
"San Juan","cuyo",-125.124897626385,58.8697017268446,-170.166890856827,79.5343137254902
"Río Negro","patagonia",-138.394722342561,55.0454742312689,-160.00791565955,71.9132893496701
"Chaco","nea",251.11676338014,20.6787687450671,-136.933361177807,56.2054208273894
"San Luis","cuyo",-127.194394393973,46.5069860279441,-133.102040921177,66.9172932330827
"Salta","noa",-55.4018505927726,43.8105787870396,-111.622651031641,59.6153846153846
"Entre Ríos","pampeana",-36.0167393816942,21.7245709501884,-66.7694156370654,26.6908212560386
"Neuquén","patagonia",-62.8023508226897,44.4332998996991,-63.7062731944425,60.5646630236794
"Tierra del Fuego","patagonia",-8.4640521609727,54.7597461468722,-51.0735897658773,75.9674134419552
"Jujuy","noa",-111.536610952265,18.1058495821727,-50.7474683475613,42.018779342723
"Chubut","patagonia",29.2355560739958,27.492596248766,-49.516658085423,45.7280385078219
"La Rioja","noa",-25.6372160394954,8.02675585284281,-43.3623268595523,34.020618556701
"La Pampa","pampeana",-30.2459261527173,31.7120622568093,-43.2359288220929,41.8918918918919
"Formosa","nea",-17.3910444226823,15.8050221565731,-30.7516611399275,38.3673469387755
"Catamarca","noa",0.850140170555049,16.5204678362573,-28.8634563949014,53.2142857142857
"Santa Cruz","patagonia",-62.8162787079529,42.6718547341115,-18.6026740894992,47.3262032085562
"Santiago del Estero","noa",85.4375528834401,16.8601716304897,-6.55288436102759,35.2857142857143
"Buenos Aires","pampeana",-229.267296664649,8.01088738362562,621.155526513313,5.05275245819278
"CABA","pampeana",1697.64688985332,4.24430089157012,2351.56009627015,16.6116715376638
