provincia,n_orgs_milei,shannon_H_milei,evenness_milei,theil_between_contrib,within_T,shannon_H_total,dominant_tipo,dominant_pct,provincial_diff,sas_share_milei,coop_share_milei,pda_total,pct_with_account,pct_borrowers,hhi_empleo,n_sectors,puestos_total,sown_ha,prod_tm,n_cultivos,agro_hhi,pob_empleo,tasa_empleo,tasa_desocupacion,pda_per_100k,prov_type
Entre Ríos,842,1.622328905410089,0.7801752888419852,0.0019163828876794,0.3920648862444143,1.6873766554354217,SRL,36.29245582478045,-9.689564508470935,26.247030878859857,4.275534441805226,3146,99.25,47.11016,0.06512884330229343,82,157045,3879690.0,12316532.0,15.0,0.19978710376748873,1122157,0.5621860399213301,0.0786786128940393,280.35292744241667,intermediate
Santa Fe,3773,1.5723279057247483,0.756129890746808,0.0050229344563058,0.5914592452021703,1.4879822964776657,SRL,48.46577227382181,-942.8082073277972,22.157434402332363,2.305857407898224,9732,99.42,52.04205,0.04428839989287268,84,551984,9833177.0,33795666.0,19.0,0.2080280265939659,2824215,0.5903505929966381,0.07983010315559767,344.5913289179471,metropolitan
Formosa,246,1.537988069749141,0.7903695196285361,0.0015911641667382,0.5005977613507,1.578843780329136,SRL,35.642270351008214,-10.475660972734886,38.21138211382114,19.91869918699187,978,100.0,46.85159,0.07163682127991569,75,34135,113528.0,210416.0,11.0,0.19511011579015367,462885,0.5217321796990613,0.06686810299527063,211.2835801548981,peripheral
La Pampa,448,1.4814899860240305,0.7613352480551343,0.0013183205598356,0.3931286480123003,1.6863128936675358,SRL,32.19802943680817,-58.42001702438257,41.517857142857146,1.3392857142857142,1236,100.0,58.06576,0.06465671505565387,78,42879,2612780.0,6380506.0,14.0,0.1509534100301921,287006,0.6149801746304955,0.0601694328631598,430.65301770694686,intermediate
Santa Cruz,374,1.465869762633664,0.7533080411473798,0.0007463348330631,0.3108058540410782,1.7686356876387574,SRL,30.0942587832048,-6.69693505433736,47.32620320855615,17.647058823529413,942,100.0,64.61186,0.05994306025536645,80,52219,,,,,259629,0.6129400028502209,0.07852436044424371,362.825416267058,intermediate
Corrientes,480,1.444438226265753,0.6946279553013508,0.0011452585100216,0.3776372504113385,1.7018042912684974,SRL,38.115871130058,-76.71164919642135,41.04166666666666,0.4166666666666667,2314,96.96,44.37445,0.06296067411680097,82,96815,149510.0,883858.0,9.0,0.5577943262015067,937638,0.5084691533406283,0.09230930327751811,246.7903391287469,peripheral
Buenos Aires,14068,1.438599172997017,0.6918199642365866,0.0096203098804131,0.5473767637945305,1.5320647778853056,SRL,35.96083056602619,266.4009112833097,5.139323286892237,2.459482513505829,33588,99.3,50.13297,0.03740152164640068,84,2771332,20880235.0,66646167.0,21.0,0.15346155864948524,13857399,0.586002106167254,0.09194482650653606,242.3831485259247,metropolitan
Santiago del Estero,702,1.4372075591070554,0.6911507394172937,0.0035316967371136,0.5318973088865971,1.547544232793239,SRL,36.11578295122599,13.471470956696692,35.18518518518518,23.219373219373217,1760,98.86,44.95276,0.06983716229909609,80,72186,4574286.0,9108950.0,19.0,0.1851586900960247,806632,0.5116781878229477,0.08129199990206051,218.19119499350384,peripheral
Misiones,445,1.433771282402407,0.7368126853639486,0.0021893676664886,0.5327650517980479,1.5466764898817882,SRL,45.459004905395936,-52.04982114294948,43.82022471910113,4.044943820224719,2556,100.0,48.82174,0.053584894850469876,82,118922,40158.0,163588.0,3.0,0.6388642867546045,954517,0.5707483470697745,0.059226090770628195,267.7794109481549,peripheral
Chubut,838,1.411735617267167,0.6789013246925537,0.0010390632574733,0.4433432058891682,1.6360983357906675,SRL,42.47008354030256,-127.7802253213295,45.4653937947494,4.176610978520286,1358,100.0,59.51096,0.05401474169390263,81,97923,,,,,466627,0.607534497575151,0.07680484047974938,291.0247371026537,intermediate
