era,provincia,n,shannon_H,evenness,n_types
pre1990,CABA,95574,1.0980611484239826,0.5280557911413732,8
pre1990,Buenos Aires,49871,1.4306482810865884,0.7352077801645309,7
pre1990,Santa Fe,17729,1.4354409341639758,0.690301172402463,8
pre1990,Santiago del Estero,1142,1.4221663841225785,0.7308489473745752,7
pre1990,Mendoza,6217,1.4611918801408375,0.702684759755469,8
pre1990,Entre Ríos,3692,1.47126233896718,0.7560792771862761,7
pre1990,Jujuy,1066,1.314513079941153,0.6755260928051142,7
pre1990,San Juan,2118,1.3840277869952335,0.711249585530525,7
pre1990,Catamarca,764,1.2635190823447082,0.649320361969494,7
pre1990,Córdoba,12541,1.4641901648801863,0.7041266299303462,8
pre1990,Corrientes,2206,1.4635082104816814,0.7520944434110564,7
pre1990,Chaco,2187,1.4386068447081,0.691823653549765,8
pre1990,La Pampa,1537,1.486227288424603,0.7637697399060929,7
pre1990,Chubut,1481,1.4746509697540595,0.7091572137020942,8
pre1990,Misiones,2406,1.4265671746791357,0.7331105063467065,7
pre1990,Formosa,698,1.3809894545603087,0.7096881915286488,7
pre1990,Neuquén,1578,1.4408001778585868,0.7404248230875697,7
pre1990,Salta,2078,1.4015667272636894,0.7202628178614064,7
pre1990,Tucumán,2987,1.4589536074321,0.7497538404537242,7
pre1990,Río Negro,2321,1.4750960070912325,0.7093712314218775,8
pre1990,Santa Cruz,644,1.4589621871107208,0.8142623003629424,6
pre1990,La Rioja,844,1.317378396911052,0.6769985744463092,7
pre1990,San Luis,1949,1.1430195386125674,0.5496762066651807,8
pre1990,Tierra del Fuego,582,1.1231833433281597,0.5772020583136559,7
menem,CABA,112673,1.0277409855943256,0.5281543888823778,7
menem,Buenos Aires,49249,1.351175000949615,0.6497778244143834,8
menem,Santa Fe,16542,1.1618579007456433,0.5587355438744671,8
menem,Santiago del Estero,1902,1.399490717065574,0.7191959596618522,7
menem,Mendoza,8438,1.3918401761639014,0.6693336399538939,8
menem,Entre Ríos,2959,1.4258203253245805,0.7327267017014006,7
menem,Jujuy,1635,1.484456966575766,0.7628599744425146,7
menem,San Juan,2809,1.16931085074423,0.5623196552087852,8
menem,Catamarca,1164,1.2869775933933147,0.6613756519118354,7
menem,Córdoba,11744,1.2589729831434742,0.6054380264647583,8
menem,Corrientes,2209,1.3592082933292395,0.6984948888771141,7
menem,Chaco,2859,1.2236005357311734,0.5884274749761477,8
menem,La Pampa,1339,1.4639583990026783,0.7523257945457505,7
menem,Chubut,2223,1.3285336523185007,0.6388896372846679,8
menem,Misiones,3050,1.164585175687625,0.5984783913342554,7
menem,Formosa,1043,1.342070369527386,0.6453994222137261,8
menem,Neuquén,2418,1.2785833354187108,0.6148686124572814,8
menem,Salta,3269,1.3201454075696513,0.6784205366370828,7
menem,Tucumán,4395,1.3528490184898883,0.6505828566822879,8
menem,Río Negro,2533,1.3804356758618495,0.6638492346106983,8
menem,Santa Cruz,897,1.4217754523990442,0.7306480482098713,7
menem,La Rioja,1230,1.4834451610863761,0.7623400092787165,7
menem,San Luis,1699,1.288226183535211,0.6195058421765215,8
menem,Tierra del Fuego,1060,1.2823039573060748,0.6166578533725892,8
crisis,CABA,25451,1.084125985967792,0.5571305471088199,7
crisis,Buenos Aires,16002,1.344344966251233,0.6908566497296271,7
crisis,Santa Fe,4857,1.2859793371385695,0.6184253374584969,8
crisis,Santiago del Estero,610,1.4633165559247734,0.7519959524519536,7
crisis,Mendoza,2880,1.0869649721635195,0.5227196583201066,8
crisis,Entre Ríos,916,1.4102805860224128,0.7247408554331586,7
crisis,Jujuy,508,1.4041725753616472,0.7216019588794144,7
crisis,San Juan,735,1.3923212312068731,0.7155115727634225,7
crisis,Catamarca,234,1.2666362359850427,0.6509222620581738,7
crisis,Córdoba,4093,1.335848951621107,0.6424075526268307,8
crisis,Corrientes,542,1.5498838308936471,0.7964827315619243,7
crisis,Chaco,676,1.3080416679898719,0.6290350758950387,8
crisis,La Pampa,431,1.5411239413833195,0.7919810388632248,7
crisis,Chubut,622,1.314459601651722,0.6754986104008228,7
crisis,Misiones,971,1.2499634158115966,0.6423541274084109,7
crisis,Formosa,361,0.9956494252531012,0.5556825245533975,6
crisis,Neuquén,661,1.3143306149806608,0.6754323243643766,7
crisis,Salta,1083,1.4232167720819398,0.7313887400057362,7
crisis,Tucumán,1826,1.322095165188285,0.6794225138453215,7
crisis,Río Negro,740,1.522039660377582,0.7821736584890577,7
crisis,Santa Cruz,398,1.437820580410638,0.7388936128981398,7
crisis,La Rioja,261,1.376453986837453,0.7073574221840018,7
crisis,San Luis,874,1.1256370073977815,0.5413169761379576,8
crisis,Tierra del Fuego,375,1.359694745456878,0.6987448758191497,7
n_kirchner,CABA,48911,1.0239067942229103,0.5261840042922791,7
n_kirchner,Buenos Aires,39274,1.2941982925190363,0.6223778195147259,8
n_kirchner,Santa Fe,10963,1.2328027624339346,0.5928528105858841,8
n_kirchner,Santiago del Estero,1595,1.3406587876349156,0.6889623286490227,7
n_kirchner,Mendoza,7814,0.9388565374292187,0.4514945568851058,8
n_kirchner,Entre Ríos,2370,1.422960029294609,0.7312568003129115,7
n_kirchner,Jujuy,1414,1.4076722598503841,0.6769472628277032,8
n_kirchner,San Juan,1784,1.3984495843418963,0.6725120934210954,8
n_kirchner,Catamarca,620,1.290917668415137,0.6634004499343624,7
n_kirchner,Córdoba,11454,1.2494221638520242,0.6008450532553578,8
n_kirchner,Corrientes,1664,1.4709024479241408,0.7558943297758245,7
n_kirchner,Chaco,1622,1.485597006776365,0.7144211448119167,8
n_kirchner,La Pampa,1019,1.4147824579737134,0.6803665453517916,8
n_kirchner,Chubut,1684,1.2366867230692051,0.6355312570159435,7
n_kirchner,Misiones,2328,1.3674698540809702,0.7027404912528155,7
n_kirchner,Formosa,850,1.2117669927426096,0.6227250489088048,7
n_kirchner,Neuquén,1845,1.1667173497070757,0.599574112028495,7
n_kirchner,Salta,2548,1.3782858031742804,0.6628153643890655,8
n_kirchner,Tucumán,3137,1.3692965296891195,0.6584924376296534,8
n_kirchner,Río Negro,1909,1.396698959351953,0.6716702207572796,8
n_kirchner,Santa Cruz,967,1.4735933123930471,0.8224280868614113,6
n_kirchner,La Rioja,674,1.3015463663329778,0.6259114960652125,8
n_kirchner,San Luis,1454,1.1898486818891063,0.6114612652936445,7
n_kirchner,Tierra del Fuego,902,1.2224014070393787,0.6822352151798738,6
c_kirchner,CABA,61425,0.9793172538331764,0.5032695133989658,7
c_kirchner,Buenos Aires,61569,1.405447815650875,0.6758775312892479,8
c_kirchner,Santa Fe,13973,1.2716756329270602,0.6115467097477346,8
c_kirchner,Santiago del Estero,2349,1.3715865839659194,0.6595937209458219,8
c_kirchner,Mendoza,9735,1.0926831397475651,0.5254695156589315,8
c_kirchner,Entre Ríos,3770,1.5248320144101881,0.7332891951261024,8
c_kirchner,Jujuy,1919,1.4095835408611181,0.7243826450802124,7
c_kirchner,San Juan,2318,1.2306204764093291,0.591803352844051,8
c_kirchner,Catamarca,1039,1.272145858269563,0.6117728403376443,8
c_kirchner,Córdoba,16630,1.2825098423494685,0.6167568631496215,8
c_kirchner,Corrientes,3144,1.4931717226498769,0.7180638131542028,8
c_kirchner,Chaco,3923,1.539683605972301,0.7404313009580918,8
c_kirchner,La Pampa,1426,1.3194599304626307,0.6780682710880525,7
c_kirchner,Chubut,2646,1.3599999477776894,0.6540217267560406,8
c_kirchner,Misiones,2722,1.4173585007051102,0.6816053600430263,8
