provincia,ref_rate,comp_rate,actual_change,national_effect,structural_mix,provincial_diff,decomposed_total,sas_share_milei,coop_share_milei
Santa Fe,1918.1538461538462,628.8333333333334,-1289.3205128205127,-1145.7709218156147,799.2586163228991,-942.8082073277973,-1289.3205128205127,22.157434402332363,2.305857407898224
San Luis,325.2307692307692,134.0,-191.23076923076923,-194.27010977848965,282.69329399360936,-279.65395344588893,-191.23076923076923,66.66666666666666,1.2437810945273633
Río Negro,376.0,177.66666666666666,-198.33333333333334,-224.59609664078937,202.29338496071892,-176.0306216532629,-198.33333333333334,71.95121951219512,1.3133208255159476
Chubut,333.07692307692304,139.66666666666666,-193.41025641025638,-198.95685320266324,133.32682211373637,-127.7802253213295,-193.41025641025635,45.4653937947494,4.176610978520286
San Juan,315.53846153846155,136.0,-179.53846153846155,-188.48060319568697,133.15043331360744,-124.20829165638196,-179.5384615384615,79.5343137254902,1.4705882352941175
Corrientes,369.84615384615387,80.0,-289.84615384615387,-220.92021944535912,7.7857147956266,-76.71164919642135,-289.84615384615387,41.041666666666664,0.4166666666666667
La Pampa,188.07692307692312,74.66666666666667,-113.41025641025645,-112.34399678533757,57.3537573994637,-58.42001702438257,-113.41025641025644,41.517857142857146,1.3392857142857142
Chaco,426.53846153846155,117.16666666666666,-309.3717948717949,-254.78423810826047,0.8566657603068215,-55.44422252384125,-309.3717948717949,56.04551920341394,0.42674253200568996
Misiones,388.4615384615385,74.16666666666666,-314.2948717948718,-232.03974796153568,-30.205302690386652,-52.04982114294948,-314.2948717948718,43.82022471910113,4.044943820224719
Córdoba,2160.3076923076924,1551.3333333333335,-608.9743589743589,-1290.4166894557957,721.0709897897448,-39.62865930830816,-608.9743589743591,76.32144391920929,0.8594757198109154
La Rioja,144.69230769230768,32.33333333333333,-112.35897435897435,-86.42906255755418,2.8206533951616235,-28.750565196581807,-112.35897435897435,34.02061855670103,3.0927835051546393
Tierra del Fuego,136.76923076923075,83.5,-53.269230769230745,-81.69637066843771,56.90107754800402,-28.47393764879709,-53.26923076923078,76.44710578842316,3.3932135728542914
Tucumán,582.6923076923076,278.66666666666663,-304.025641025641,-348.05962194230347,60.21653009088247,-16.182549174220007,-304.025641025641,69.97607655502392,5.023923444976076
Jujuy,256.3846153846154,71.5,-184.88461538461542,-153.14623365461352,-19.5354935788833,-12.20288815111855,-184.88461538461536,42.19114219114219,11.188811188811188
Formosa,143.84615384615384,41.0,-102.84615384615384,-85.9236294431825,-22.113530096903116,-10.475660972734886,-118.51282051282051,38.21138211382114,19.91869918699187
Entre Ríos,472.3076923076923,140.33333333333334,-331.974358974359,-282.1235747492731,-40.16121971661498,-9.689564508470935,-331.974358974359,26.247030878859857,4.275534441805226
Catamarca,127.61538461538461,47.166666666666664,-80.44871794871796,-76.22850334023519,5.392361633198864,-9.61257624168163,-80.44871794871796,53.35689045936396,4.593639575971731
Santa Cruz,165.07692307692307,62.33333333333334,-102.74358974358972,-98.60540576741693,-26.94124892183545,-6.69693505433736,-132.24358974358975,47.32620320855615,17.647058823529413
Santiago del Estero,303.3846153846154,117.0,-186.38461538461542,-181.2207457347122,-18.63534060659988,13.471470956696692,-186.3846153846154,35.18518518518518,23.219373219373217
Neuquén,342.30769230769226,183.99999999999997,-158.3076923076923,-204.47066899580864,-18.26925209259472,64.43222878071106,-158.3076923076923,60.507246376811594,1.2681159420289856
Salta,495.2307692307693,243.66666666666669,-251.5641025641026,-295.81621730225083,-37.65016797843509,81.90228271658333,-251.5641025641026,59.4391244870041,2.7359781121751023
Mendoza,1349.9230769230767,702.4999999999999,-647.4230769230768,-806.3496112825721,16.221602407255347,142.70493195223983,-647.423076923077,83.58244365361803,0.166073546856465
Buenos Aires,7757.153846153846,2344.6666666666665,-5412.48717948718,-4633.581050234681,-1045.3070405358078,266.4009112833097,-5412.487179487179,5.139323286892237,2.459482513505829
CABA,8487.384615384615,3637.8333333333335,-4849.551282051281,-5069.769827937425,-1220.5233073061547,812.2418531922981,-5478.051282051281,17.276767306546937,0.38484445869794287
