provincia,ref_rate,comp_rate,actual_change,national_effect,structural_mix,provincial_diff,decomposed_total,sas_share_milei,coop_share_milei
Córdoba,4652.0,1551.3333333333335,-3100.6666666666665,-3192.940782549112,268.43920505517497,-176.16508917272927,-3100.666666666666,76.32144391920929,0.8594757198109154
Santa Fe,2491.0,628.8333333333334,-1862.1666666666665,-1709.7195806813927,-36.29862862869075,-116.14845735658324,-1862.1666666666667,22.157434402332363,2.305857407898224
Corrientes,555.0,80.0,-475.0,-380.92909164117737,16.55786343024848,-110.62877178907107,-475.0,41.041666666666664,0.4166666666666667
Chaco,950.25,117.16666666666666,-833.0833333333334,-652.2123771748268,-81.09975957578666,-99.7711965827199,-833.0833333333334,56.04551920341394,0.42674253200568996
Mendoza,2145.75,702.4999999999999,-1443.25,-1472.754231331633,126.7512073183565,-97.24697598672334,-1443.2499999999998,83.58244365361803,0.166073546856465
Salta,902.75,243.66666666666669,-659.0833333333333,-619.6103378001313,1.1344746387664273,-40.607470171968366,-659.0833333333333,59.4391244870041,2.7359781121751023
Entre Ríos,597.25,140.33333333333334,-456.91666666666663,-409.9277477165644,-13.636779524664664,-33.35213942543764,-456.91666666666674,26.247030878859857,4.275534441805226
San Juan,477.75,136.0,-341.75,-327.9078802370676,18.385581155567365,-32.227700918499764,-341.75,79.5343137254902,1.4705882352941175
Río Negro,577.25,177.66666666666666,-399.58333333333337,-396.2005732430085,20.75397277967607,-24.136732870001005,-399.5833333333334,71.95121951219512,1.3133208255159476
Misiones,366.75,74.16666666666666,-292.58333333333337,-251.7220619088321,-23.101808632262557,-17.759462792238665,-292.5833333333333,43.82022471910113,4.044943820224719
Chubut,506.5,139.66666666666666,-366.83333333333337,-347.6406935428043,-6.67793749833961,-12.514702292189465,-366.8333333333333,45.4653937947494,4.176610978520286
Tierra del Fuego,275.75,83.5,-192.25,-189.26341805415257,7.6782614687799935,-10.831510081294095,-192.41666666666666,76.44710578842316,3.3932135728542914
La Pampa,257.0,74.66666666666667,-182.33333333333331,-176.39419198519386,4.326202248743948,-10.26534359688341,-182.33333333333331,41.517857142857146,1.3392857142857142
La Rioja,149.5,32.33333333333333,-117.16666666666667,-102.61062918983068,-9.5406349878586,-5.0154024889773945,-117.16666666666667,34.02061855670103,3.0927835051546393
Catamarca,171.0,47.166666666666664,-123.83333333333334,-117.36734174890331,-3.382286196625815,-3.083705387804203,-123.83333333333333,53.35689045936396,4.593639575971731
San Luis,375.75,134.0,-241.75,-257.8992904219323,14.005007455468741,2.144282966463539,-241.75,66.66666666666666,1.2437810945273633
Santa Cruz,192.75,62.33333333333334,-130.41666666666666,-132.2956439888954,-0.4885940842353269,2.3675714064640605,-130.41666666666666,47.32620320855615,17.647058823529413
Formosa,169.25,41.0,-128.25,-116.16621398246718,-15.136874262394288,3.053088244861452,-128.25000000000003,38.21138211382114,19.91869918699187
Santiago del Estero,495.25,117.0,-378.25,-339.91915790142906,-42.07391235488846,3.7430702563175053,-378.25000000000006,35.18518518518518,23.219373219373217
Jujuy,269.25,71.5,-197.75,-184.8020863502469,-20.821887467416083,7.873973817662963,-197.75,42.19114219114219,11.188811188811188
Neuquén,498.5,183.99999999999997,-314.5,-342.1498237533819,19.100848809058476,8.548974944323392,-314.5,60.507246376811594,1.2681159420289856
Tucumán,866.25,278.66666666666663,-587.5833333333334,-594.5582443858917,-12.65673200460868,19.63164305716712,-587.5833333333333,69.97607655502392,5.023923444976076
Buenos Aires,8082.75,2344.6666666666665,-5738.083333333334,-5547.665973806716,-228.58869114111667,38.17133161449806,-5738.083333333334,5.139323286892237,2.459482513505829
CABA,9365.5,3637.8333333333335,-5727.666666666666,-6428.09262660441,-3.628098000953173,704.0540579386959,-5727.666666666667,17.276767306546937,0.38484445869794287
